time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
26_04_2021 17h02min59seg,1,-1,5890,4983,1471,5600,1450,2075,0,10440,2250,0,0,6275,825,23020
26_04_2021 17h03min33seg,2,-1,4256,469,577,750,775,0,0,4465,316,0,0,975,0,9320
26_04_2021 17h05min03seg,3,-1,5934,4836,3015,4600,1375,2700,0,9835,824,0,0,4775,200,23120
26_04_2021 17h05min30seg,4,-1,3537,491,350,650,575,0,0,3810,152,0,0,775,0,8860
26_04_2021 17h06min44seg,5,-1,8339,2646,3745,2350,1375,900,0,8480,1684,0,0,2675,50,18640
26_04_2021 17h07min46seg,6,-1,5522,3796,2393,3300,1375,750,0,6595,1652,0,0,3275,400,16960
26_04_2021 17h09min04seg,7,-1,7655,3068,5122,2400,1375,1100,0,8540,840,0,0,2725,50,21420
26_04_2021 17h09min32seg,8,-1,3490,502,824,600,775,0,0,3765,0,0,0,675,0,9180
26_04_2021 17h10min05seg,9,-1,5998,581,432,750,775,0,0,5465,408,0,0,625,0,10660
26_04_2021 17h10min42seg,10,-1,1565,1570,6104,1200,1150,200,0,2215,0,0,0,1350,0,11580
26_04_2021 17h11min15seg,11,-1,5686,524,619,950,575,0,0,5495,16,0,0,525,0,10820
26_04_2021 17h12min12seg,12,-1,6985,1726,1960,650,1225,0,0,7140,120,0,0,875,0,16320
26_04_2021 17h12min38seg,13,-1,4615,414,433,850,500,0,0,4065,0,307,0,350,0,8180
26_04_2021 17h13min16seg,14,-1,5202,1059,1918,850,1225,0,0,5265,112,0,0,1075,0,11800
26_04_2021 17h14min06seg,15,-1,9436,864,16,750,475,0,0,8295,616,643,0,225,0,14840
26_04_2021 17h14min35seg,16,-1,4700,450,878,750,700,0,0,4550,0,0,0,450,0,8660
26_04_2021 17h15min07seg,17,-1,2935,1171,3748,850,1150,0,0,3135,0,0,0,1000,0,9880
26_04_2021 17h15min32seg,18,-1,5340,465,5,750,400,0,0,4690,0,839,0,150,0,8260
26_04_2021 17h15min58seg,19,-1,4462,439,312,750,475,0,0,3965,272,0,0,325,0,8380
26_04_2021 17h16min31seg,20,-1,1590,1452,3787,600,1150,0,0,2090,0,0,0,750,0,10260
26_04_2021 17h16min56seg,21,-1,4105,511,617,600,500,0,0,3805,0,0,0,300,0,8500
