time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene,StepsInEpisode
27_04_2021 10h32min31seg,1,1,3952,346,453,1150,1025,0,400,2920,332,587,179,1525,0,6300
27_04_2021 10h33min24seg,2,1,9135,1258,529,1950,1300,0,400,7650,660,839,134,2425,50,14040
27_04_2021 10h33min55seg,3,1,4729,636,81,900,925,0,400,3395,484,643,111,1075,0,7900
27_04_2021 10h34min33seg,4,1,5947,806,271,1800,1300,50,400,4505,492,811,179,2275,25,9280
27_04_2021 10h35min55seg,5,1,13507,4693,1450,2150,1375,0,400,10785,2172,0,179,2675,350,22960
27_04_2021 10h36min27seg,6,1,5475,693,153,1475,1300,0,400,4425,300,923,111,2125,125,7800
27_04_2021 10h37min39seg,7,1,12150,2898,206,2150,1375,0,400,10110,1540,279,156,2775,300,20760
27_04_2021 10h38min16seg,8,1,6738,497,46,1200,925,0,400,5390,348,839,67,1275,0,9200
27_04_2021 10h38min56seg,9,1,7527,706,218,1650,1225,0,400,6055,872,951,156,2475,0,9600
27_04_2021 10h39min58seg,10,1,11107,2550,770,1425,1375,0,400,9405,652,587,111,1725,75,17520
27_04_2021 10h41min23seg,11,1,12974,3098,3756,1825,1375,0,400,10800,1124,0,67,2025,175,25460
27_04_2021 10h42min51seg,12,0,12578,2368,3329,850,1225,0,0,10790,788,0,156,1175,0,28800
27_04_2021 10h44min29seg,13,0,13514,4721,2085,1600,1225,0,0,10790,1824,0,179,2125,0,28800
27_04_2021 10h45min59seg,14,1,13572,2130,2500,1700,1300,0,400,10390,2132,279,179,2000,0,27660
27_04_2021 10h47min27seg,15,0,11105,4294,6137,600,1225,0,0,10035,20,223,67,825,0,28800
27_04_2021 10h49min00seg,16,0,13030,2803,2532,1200,1225,0,0,10800,1180,0,156,1425,0,28800
27_04_2021 10h50min29seg,17,0,11945,1749,5185,750,775,0,0,10815,80,27,0,525,0,28800
27_04_2021 10h52min07seg,18,0,10533,3736,4264,1950,1225,0,0,9925,108,307,44,2725,0,28800
27_04_2021 10h53min53seg,19,0,11455,5675,7345,1050,1150,0,0,10405,0,167,0,1200,0,28800
27_04_2021 10h55min33seg,20,0,12416,1814,7352,1550,1125,0,0,10780,1136,0,156,2225,0,28800
27_04_2021 10h57min00seg,21,0,11850,1749,6096,750,700,0,0,10800,0,0,0,450,0,28800
27_04_2021 10h58min28seg,22,0,12442,1681,2535,950,775,0,0,10800,592,0,156,725,0,28800
27_04_2021 10h59min59seg,23,0,13210,1613,4286,1150,775,0,0,10790,1520,0,156,1075,0,28800
27_04_2021 11h01min28seg,24,0,13082,1749,4864,750,775,0,0,10800,1232,0,67,525,0,28800
27_04_2021 11h02min55seg,25,0,11845,1715,3602,850,700,0,0,10795,0,0,0,550,0,28800
27_04_2021 11h04min26seg,26,0,11850,1630,9296,1100,700,0,0,10800,0,0,0,800,0,28800
27_04_2021 11h06min01seg,27,0,14095,1630,9428,1100,775,0,0,10795,2250,0,78,875,0,28800
27_04_2021 11h07min27seg,28,0,11857,1749,6064,750,775,0,0,10795,12,0,44,525,0,28800
27_04_2021 11h09min01seg,29,0,12046,4195,5120,1650,1375,0,0,10600,396,279,44,2075,75,28800
27_04_2021 11h10min27seg,30,0,13154,1800,400,600,475,0,0,10800,1304,0,67,75,0,28800
27_04_2021 11h11min52seg,31,0,12354,1855,1708,600,925,0,0,11040,264,111,67,525,0,28800
27_04_2021 11h13min25seg,32,0,13973,2720,1581,1150,1225,0,0,10795,2128,0,156,1375,0,28800
27_04_2021 11h14min52seg,33,0,12574,1749,3830,750,775,0,0,10800,724,0,156,525,0,28800
27_04_2021 11h16min29seg,34,0,12705,6122,4506,1100,1150,0,0,11655,0,139,0,1250,0,28800
27_04_2021 11h17min30seg,35,1,9688,3245,4032,1600,1225,250,400,8450,188,531,179,1825,0,16500
27_04_2021 11h19min02seg,36,0,14095,3434,10636,1150,800,0,0,10795,2250,0,0,925,25,28800
27_04_2021 11h20min35seg,37,0,11570,3469,11614,1950,1150,0,0,10770,0,0,0,2350,0,28800
27_04_2021 11h22min04seg,38,0,11501,2444,3131,1550,1375,0,0,10795,656,0,111,2875,300,28800
27_04_2021 11h23min36seg,39,0,13230,3730,3659,1150,1225,0,0,10820,1360,27,156,1375,0,28800
27_04_2021 11h25min30seg,40,0,13950,1613,3973,1150,775,0,0,10800,2100,0,156,925,0,28800
27_04_2021 11h27min10seg,41,0,11938,1749,5627,750,475,0,0,10800,88,0,67,225,0,28800
27_04_2021 11h28min52seg,42,0,11845,1800,1758,600,700,0,0,10795,0,0,0,300,0,28800
27_04_2021 11h30min43seg,43,0,12586,5227,6416,1150,1375,0,0,10800,736,0,44,1475,50,28800
27_04_2021 11h32min20seg,44,0,12538,2125,2461,800,1225,0,0,10820,668,27,44,1025,0,28800
27_04_2021 11h34min10seg,45,0,12747,1841,1102,800,1225,0,0,10865,832,0,156,1025,0,28800
27_04_2021 11h35min48seg,46,1,10580,4253,5631,1900,1150,0,400,9530,0,587,0,2050,0,22620
27_04_2021 11h37min43seg,47,0,11966,6517,13737,1050,1375,0,0,10800,116,0,0,1375,50,28800
27_04_2021 11h39min30seg,48,0,11924,6178,2636,2125,1300,0,0,10800,624,0,67,2775,200,28800
27_04_2021 11h41min13seg,49,0,11303,2317,7755,1150,1225,0,0,10795,8,0,44,2075,0,28800
27_04_2021 11h42min58seg,50,0,12742,1618,966,1100,775,0,0,10800,892,0,156,925,0,28800
