time,episode,winLose,score,idle_production_time,idle_worker_time,total_value_units,total_value_structures,killed_value_units,killed_value_structures,collected_minerals,collected_vespene,collection_rate_minerals,collection_rate_vespene,spent_minerals,spent_vespene
23_04_2021 22h19min33seg,1,-1,2335,341,20,600,500,0,0,2385,0,363,0,400,0
23_04_2021 22h19min54seg,2,-1,1795,391,85,600,500,0,0,2445,0,0,0,700,0
23_04_2021 22h20min17seg,3,-1,2640,487,229,750,800,0,0,2990,0,279,0,650,0
23_04_2021 22h20min39seg,4,-1,2495,764,880,900,800,50,0,2845,0,0,0,700,0
23_04_2021 22h21min03seg,5,-1,2435,816,566,950,800,150,0,3135,0,0,0,750,0
23_04_2021 22h21min27seg,6,-1,1890,892,559,900,800,100,0,2540,0,0,0,700,0
23_04_2021 22h21min48seg,7,-1,2300,452,141,600,500,0,0,2950,0,0,0,700,0
23_04_2021 22h22min11seg,8,-1,3020,969,509,700,800,100,0,3220,0,279,0,500,0
23_04_2021 22h22min33seg,9,-1,2320,433,85,900,650,0,0,2970,0,0,0,700,0
23_04_2021 22h23min39seg,10,0,9605,3226,2434,3000,800,3450,0,10805,0,0,0,3150,0
23_04_2021 22h24min46seg,11,0,9405,2305,2521,2900,900,3500,0,10805,0,0,0,3050,0
23_04_2021 22h25min08seg,12,-1,1555,395,194,800,650,50,0,2105,0,0,0,600,0
23_04_2021 22h25min29seg,13,-1,2460,428,47,600,500,0,0,3060,0,55,0,650,0
23_04_2021 22h25min50seg,14,-1,2335,540,492,750,800,0,0,2735,0,0,0,550,0
23_04_2021 22h26min56seg,15,0,9000,2311,1858,3750,800,3500,0,10800,0,0,0,3650,0
23_04_2021 22h27min16seg,16,-1,3085,419,14,600,500,0,0,3135,0,279,0,350,0
23_04_2021 22h28min23seg,17,0,9410,2892,1244,3100,800,4350,0,10810,0,0,0,3100,0
23_04_2021 22h28min43seg,18,-1,3110,432,164,600,650,0,0,2960,0,0,0,400,0
23_04_2021 22h29min05seg,19,-1,2435,812,124,600,800,0,0,2735,0,251,0,500,0
23_04_2021 22h29min27seg,20,-1,1855,368,84,600,500,0,0,2355,0,0,0,550,0
23_04_2021 22h29min49seg,21,-1,2975,600,16,650,800,0,0,2925,0,671,0,550,0
23_04_2021 22h30min14seg,22,-1,1885,637,33,750,800,100,0,3085,0,83,0,1300,0
23_04_2021 22h30min43seg,23,-1,4350,1089,24,850,800,250,0,4500,0,531,0,650,0
23_04_2021 22h31min09seg,24,-1,3160,648,324,900,800,50,0,3260,0,0,0,700,0
23_04_2021 22h31min35seg,25,-1,3080,499,13,700,650,0,0,3130,0,447,0,500,0
23_04_2021 22h31min58seg,26,-1,3335,725,30,650,800,50,0,3135,0,699,0,450,0
